timestamps,TP9,AF7,AF8,TP10,Right AUX
1585002094.414,24.414,35.156,32.715,7.324,34.668
1585002094.418,11.230,36.621,33.203,-39.062,48.828
1585002094.422,16.113,26.855,22.949,27.832,48.828
1585002094.426,22.461,24.414,23.926,83.008,68.359
1585002094.430,22.949,31.738,33.691,41.016,24.902
1585002094.434,20.996,34.180,36.621,-32.227,29.297
1585002094.437,25.391,23.926,33.691,8.301,-0.977
1585002094.441,28.809,17.578,34.180,75.684,-21.484
1585002094.445,23.926,23.926,31.250,51.758,28.320
1585002094.449,19.531,33.691,33.691,-29.297,51.758
1585002094.453,19.531,29.785,31.250,-35.156,68.359
1585002094.457,15.625,20.020,21.484,45.410,18.555
1585002094.461,15.625,24.414,24.902,55.176,4.395
1585002094.465,11.230,35.645,37.109,-22.949,14.160
1585002094.469,12.695,31.738,36.621,-42.969,-0.977
1585002094.473,24.414,22.949,23.438,42.969,20.996
1585002094.477,30.762,26.367,24.414,83.008,48.340
1585002094.480,37.598,38.086,39.062,28.320,50.781
1585002094.484,26.367,37.109,43.457,-34.668,29.785
1585002094.488,10.254,22.461,29.297,-0.977,19.043
1585002094.492,13.184,20.508,23.438,60.547,22.949
1585002094.496,21.973,31.738,36.133,43.945,29.297
1585002094.500,14.160,37.598,40.527,-36.621,21.973
1585002094.504,5.371,24.414,28.809,-18.066,14.160
1585002094.508,19.531,19.043,25.879,71.777,30.762
1585002094.512,28.320,29.297,37.109,63.477,25.879
1585002094.516,13.672,35.156,43.945,-24.902,51.270
1585002094.519,13.672,28.320,34.180,-24.902,23.926
1585002094.523,29.297,18.066,27.832,66.406,13.672
1585002094.527,29.785,24.902,35.156,77.637,6.836
1585002094.531,14.648,41.504,40.039,-18.555,-12.695
1585002094.535,8.301,36.621,34.668,-59.570,-16.602
1585002094.539,18.066,22.461,24.414,29.297,20.020
1585002094.543,23.438,21.973,23.438,78.613,40.039
1585002094.547,22.949,31.738,32.227,19.531,-3.418
1585002094.551,18.066,34.180,34.668,-43.457,-17.578
1585002094.555,19.043,23.438,24.902,14.160,9.766
1585002094.559,34.668,21.484,25.391,90.332,37.598
1585002094.562,31.738,30.273,35.645,58.105,44.922
1585002094.566,18.555,34.180,41.504,-28.320,56.641
1585002094.570,15.137,24.902,33.691,-11.719,-10.254
1585002094.574,14.648,21.484,24.902,63.477,-14.160
1585002094.578,14.648,29.785,27.832,57.129,26.367
1585002094.582,18.555,41.016,36.621,-17.090,48.828
1585002094.586,20.020,35.156,34.668,-22.461,70.312
1585002094.590,17.090,20.020,27.344,47.852,72.266
1585002094.594,19.043,21.973,30.273,58.594,64.941
1585002094.598,17.578,31.738,39.551,-4.883,22.949
1585002094.602,13.672,30.273,38.086,-43.945,16.113
1585002094.605,27.832,21.484,29.785,26.367,37.109
1585002094.609,29.785,20.996,33.203,76.172,26.367
1585002094.613,11.230,33.203,38.086,11.230,13.672
1585002094.617,5.859,42.480,34.180,-69.824,-19.043
1585002094.621,13.184,32.227,23.926,-12.695,-20.996
1585002094.625,27.344,25.391,24.902,71.289,7.812
1585002094.629,20.508,29.785,35.156,41.992,27.832
1585002094.633,8.789,38.086,45.898,-34.180,56.152
1585002094.637,8.789,30.762,39.062,-22.461,10.742
1585002094.641,7.324,15.625,30.273,46.387,-26.855
1585002094.644,14.648,24.902,35.645,56.641,30.762
1585002094.648,19.531,38.086,41.992,-16.602,46.875
1585002094.652,12.695,34.668,35.645,-38.574,58.594
1585002094.656,12.207,24.902,25.879,46.875,80.566
1585002094.660,22.461,27.832,27.344,78.613,78.125
1585002094.664,21.973,39.551,38.574,3.906,46.875
1585002094.668,10.254,38.086,36.621,-54.199,22.949
1585002094.672,15.625,24.902,25.879,20.020,29.785
1585002094.676,29.297,20.020,32.227,97.168,31.738
1585002094.680,30.762,31.250,45.898,47.852,16.113
1585002094.684,4.395,41.504,39.062,-56.152,-3.906
1585002094.687,-8.301,32.715,21.484,-26.855,19.531
1585002094.691,19.043,26.367,22.461,59.570,51.758
1585002094.695,30.762,31.250,31.250,48.828,0.000
1585002094.699,17.090,37.109,39.551,-25.879,37.598
1585002094.703,13.672,30.762,34.180,-13.672,84.961
1585002094.707,19.531,20.020,25.391,67.871,1.465
1585002094.711,20.996,24.902,31.738,67.383,-17.090
1585002094.715,18.066,39.551,40.039,-18.066,-45.410
1585002094.719,12.207,38.086,35.645,-41.504,9.277
1585002094.723,21.484,26.367,27.344,44.434,46.875
1585002094.727,29.785,26.855,26.855,72.266,16.113
1585002094.730,12.695,36.133,32.227,0.000,61.035
1585002094.734,-0.977,40.527,34.180,-49.805,49.805
1585002094.738,10.254,31.738,24.902,14.648,-9.766
1585002094.742,23.438,27.344,22.461,80.078,-20.508
1585002094.746,22.949,36.133,35.156,42.480,6.348
1585002094.750,17.090,41.016,41.992,-44.434,28.320
1585002094.754,11.230,31.250,30.762,-17.090,58.594
1585002094.758,17.578,25.879,26.367,58.105,41.992
1585002094.762,20.996,33.691,33.691,47.363,-9.766
1585002094.766,24.902,39.551,42.480,-23.926,4.883
1585002094.769,29.297,31.250,37.598,-26.855,11.230
1585002094.773,16.113,23.438,21.484,42.480,7.324
1585002094.777,6.836,29.297,23.926,61.035,23.438
1585002094.781,18.555,41.016,39.551,0.977,-17.090
1585002094.785,20.508,41.016,37.598,-35.645,-22.949
1585002094.789,14.648,27.832,25.391,40.039,23.926
1585002094.793,21.484,21.973,27.344,82.520,38.086
1585002094.797,22.461,32.227,40.527,24.414,44.434
1585002094.801,13.184,34.668,42.480,-41.992,15.137
1585002094.805,14.648,25.391,28.809,5.371,14.648
1585002094.809,29.297,18.555,29.785,84.961,48.828
1585002094.812,32.715,22.461,41.504,54.688,49.805
1585002094.816,20.020,35.156,43.945,-41.504,44.922
1585002094.820,9.277,27.344,32.227,-24.414,20.020
1585002094.824,7.324,21.973,23.438,58.594,5.371
1585002094.828,8.789,34.180,26.367,48.340,34.180
1585002094.832,12.207,42.480,39.062,-28.809,46.875
1585002094.836,10.742,33.691,34.668,-33.203,42.480
1585002094.840,16.113,21.973,23.438,57.617,48.340
1585002094.844,23.926,24.414,31.738,83.496,32.227
1585002094.848,19.043,33.203,43.945,1.953,33.691
