timestamps,TP9,AF7,AF8,TP10,Right AUX
1584600775.220,48.340,26.855,25.879,176.270,62.012
1584600775.224,33.691,34.180,29.785,168.457,55.664
1584600775.227,14.648,23.926,31.738,-80.566,35.645
1584600775.231,20.508,15.137,22.949,-136.719,0.000
1584600775.235,49.805,32.227,32.227,109.863,6.836
1584600775.239,52.246,34.668,36.133,201.172,8.301
1584600775.243,21.973,21.484,25.391,-20.020,-17.090
1584600775.247,8.789,13.672,21.484,-152.832,13.184
1584600775.251,38.086,28.809,27.344,47.852,31.738
1584600775.255,48.828,38.574,25.391,211.914,-9.766
1584600775.259,20.020,26.367,22.949,54.199,-16.113
1584600775.263,0.977,20.508,24.414,-149.414,24.414
1584600775.267,20.508,31.738,23.926,-23.926,32.715
1584600775.270,42.480,38.086,26.367,195.312,3.906
1584600775.274,30.762,28.320,22.461,110.352,15.625
1584600775.278,6.348,25.879,20.996,-127.441,57.617
1584600775.282,18.555,39.551,33.203,-83.008,11.719
1584600775.286,47.363,36.133,38.086,168.457,-27.832
1584600775.290,39.551,20.996,28.809,168.945,-44.434
1584600775.294,14.160,18.066,23.438,-78.125,-32.715
1584600775.298,15.137,25.391,29.297,-131.836,22.949
1584600775.302,47.852,31.738,30.762,107.910,22.461
1584600775.306,53.711,21.973,26.855,199.707,16.602
1584600775.310,22.949,13.184,25.879,-8.789,45.410
1584600775.313,4.395,23.926,27.832,-154.297,6.348
1584600775.317,27.344,42.480,32.715,29.785,-1.465
1584600775.321,53.223,39.062,35.645,209.473,62.012
1584600775.325,30.762,26.855,29.297,62.012,28.809
1584600775.329,-5.371,26.855,26.367,-151.855,-10.254
1584600775.333,4.395,28.809,24.902,-50.293,6.836
1584600775.337,45.898,33.691,21.973,179.199,0.488
1584600775.341,48.828,31.250,25.879,125.488,7.812
1584600775.345,18.555,22.949,23.438,-116.699,9.766
1584600775.349,20.020,23.438,27.832,-105.469,11.230
1584600775.352,42.480,24.414,36.133,144.531,12.695
1584600775.356,31.738,25.391,31.738,177.734,88.867
1584600775.360,14.160,36.621,34.668,-48.828,75.195
1584600775.364,11.719,38.574,37.598,-127.930,9.766
1584600775.368,37.109,27.344,25.879,80.566,30.273
1584600775.372,62.500,29.785,20.996,198.242,33.203
1584600775.376,32.715,29.785,18.066,6.836,42.480
1584600775.380,3.906,25.391,14.160,-155.273,52.734
1584600775.384,54.688,30.273,22.949,41.992,87.402
1584600775.388,80.078,27.832,36.621,241.211,55.176
1584600775.392,23.438,17.090,34.180,76.172,-0.977
1584600775.395,-23.438,12.695,31.250,-163.574,-5.371
1584600775.399,-0.488,17.578,34.180,-69.824,30.762
1584600775.403,41.504,22.949,32.715,176.758,20.508
1584600775.407,23.438,20.020,31.738,143.066,19.531
1584600775.411,-6.836,16.113,37.598,-96.191,22.949
1584600775.415,2.441,19.043,42.480,-96.191,2.441
1584600775.419,29.297,21.484,39.551,139.648,30.273
1584600775.423,21.973,16.602,32.227,183.105,19.043
1584600775.427,-10.742,11.719,24.902,-41.504,12.207
1584600775.431,-8.789,10.254,27.832,-146.973,14.160
1584600775.435,34.180,18.555,35.156,62.500,8.789
1584600775.438,48.340,27.832,35.645,205.566,32.227
1584600775.442,17.578,17.090,28.320,28.320,23.438
1584600775.446,5.371,9.766,30.273,-153.809,15.137
1584600775.450,38.086,30.273,43.457,7.812,32.227
1584600775.454,56.152,37.109,44.922,214.844,38.574
1584600775.458,18.555,20.996,32.715,96.680,32.715
1584600775.462,-2.930,22.949,32.227,-133.789,-1.953
1584600775.466,24.414,29.785,41.016,-66.406,8.301
1584600775.470,55.176,28.809,35.156,173.340,2.930
1584600775.474,39.551,21.484,22.949,147.949,-26.855
1584600775.477,-5.859,2.930,16.602,-101.074,-4.395
1584600775.481,10.254,7.812,22.949,-132.324,63.965
1584600775.485,53.223,31.250,29.785,111.328,93.750
1584600775.489,43.457,33.203,29.297,192.383,41.016
1584600775.493,6.348,18.066,29.297,-18.555,46.387
1584600775.497,3.418,19.043,34.180,-136.719,55.176
1584600775.501,28.809,24.902,32.715,57.129,26.367
1584600775.505,51.758,23.438,24.902,205.078,61.035
