timestamps,TP9,AF7,AF8,TP10,Right AUX
1584600039.282,-3.906,4.395,29.785,-40.039,18.555
1584600039.286,57.617,23.926,26.855,69.824,-16.113
1584600039.290,66.895,33.203,27.344,108.398,9.766
1584600039.294,10.254,20.996,33.691,5.859,95.215
1584600039.298,-7.324,24.414,30.273,-56.152,31.250
1584600039.302,40.527,31.250,24.902,29.297,3.418
1584600039.306,60.059,35.645,26.367,101.074,-11.230
1584600039.310,14.160,27.832,21.484,20.996,15.137
1584600039.313,-5.371,23.438,20.020,-59.570,74.219
1584600039.317,41.016,31.738,24.902,5.371,68.359
1584600039.321,75.195,41.504,46.387,110.840,68.848
1584600039.325,43.457,25.879,49.316,74.219,60.547
1584600039.329,-10.742,16.602,22.949,-45.898,39.062
1584600039.333,8.789,35.156,20.508,-32.227,7.324
1584600039.337,69.824,32.227,37.598,90.332,7.812
1584600039.341,57.129,19.531,37.598,97.168,38.086
1584600039.345,-10.254,20.508,26.367,-20.020,74.707
1584600039.349,-10.742,27.344,27.832,-49.805,62.012
1584600039.352,41.504,31.250,33.691,51.758,32.227
1584600039.356,46.387,29.785,29.785,89.355,56.152
1584600039.360,0.000,25.879,25.391,-0.977,47.852
1584600039.364,-1.465,27.344,32.227,-41.992,-4.395
1584600039.368,55.176,31.738,31.738,45.410,-10.254
1584600039.372,68.848,24.902,24.902,117.188,31.250
1584600039.376,31.738,16.602,29.785,57.617,23.926
1584600039.380,1.465,18.555,23.926,-33.203,4.883
1584600039.384,32.227,31.250,23.438,2.930,63.965
1584600039.388,56.641,31.738,29.785,93.750,69.336
1584600039.392,31.250,29.785,26.367,68.848,25.391
1584600039.395,-2.441,32.227,21.973,-32.715,-5.371
1584600039.399,17.090,32.227,26.367,-26.855,-4.395
1584600039.403,64.453,26.855,31.738,70.801,12.207
1584600039.407,54.199,22.461,24.414,88.379,15.137
1584600039.411,17.578,19.043,26.367,5.371,0.000
1584600039.415,13.184,15.625,30.273,-30.273,7.812
1584600039.419,44.922,29.785,26.855,59.082,7.324
1584600039.423,47.852,35.645,17.090,95.703,16.113
1584600039.427,0.000,25.879,14.648,7.324,19.043
1584600039.431,-12.695,21.973,20.020,-53.223,4.883
1584600039.435,42.969,28.809,30.762,22.461,14.160
1584600039.438,75.195,31.250,35.645,106.445,30.273
1584600039.442,37.109,25.879,33.691,54.688,2.930
1584600039.446,-5.859,21.973,23.438,-50.293,22.949
